food_id,nutrient_id,amount
1,1,2.3
1,2,25.6
1,4,1.6
1,6,0.4
2,1,2.7
2,2,28.2
2,4,0.4
2,9,35.0
3,1,13.2
3,2,67.7
3,4,10.1
3,6,4.3
4,1,31.0
4,3,3.6
4,6,1.0
4,9,256.0
5,1,12.6
5,3,10.6
5,5,56.0
5,8,2.0
6,1,22.1
6,3,12.4
6,8,12.5
6,9,490.0
7,1,9.0
7,2,20.1
7,4,7.9
7,6,3.3
8,1,3.0
8,4,2.4
8,5,136.0
8,7,15.0
9,1,2.4
9,4,3.3
9,5,40.0
9,7,65.0
10,1,1.1
10,2,22.8
10,4,2.6
10,9,358.0
11,1,0.3
11,2,13.8
11,4,2.4
11,7,4.6
12,1,3.2
12,2,4.8
12,3,3.3
12,5,113.0
12,8,1.0
13,1,3.5
13,2,4.7
13,3,3.3
13,5,121.0
14,1,21.2
14,3,49.9
14,4,12.5
14,5,264.0
15,1,1.6
15,2,20.7
15,4,3.3
15,9,337.0
